Document Name,Document Title,Document Public Url
"THE UNIVERSITY OF HORTICULTURAL SCIENCES ACT, 2009-ENG.pdf","THE UNIVERSITY OF HORTICULTURAL SCIENCES ACT, 2009",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20UNIVERSITY%20OF%20HORTICULTURAL%20SCIENCES%20ACT%2C%202009-ENG.pdf
04 of 2020 (E).pdf,"THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF TEACHERS) ACT, 2020",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/04%20of%202020%20%28E%29.pdf
"THE KARNATAKA TRAFFIC CONTROL ACT, 1960-ENG.pdf","THE KARNATAKA TRAFFIC CONTROL ACT, 1960",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20TRAFFIC%20CONTROL%20ACT%2C%201960-ENG.pdf
"SRI JAGADHGURU MURUGARAJENDRAUNIVERSITY ACT, 2020-ENG.pdf","SRI JAGADHGURU MURUGARAJENDRA UNIVERSITY ACT, 2020",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/SRI%20JAGADHGURU%20MURUGARAJENDRAUNIVERSITY%20ACT%2C%202020-ENG.pdf
"THE KARNATAKA LOCAL AUTHORITIES (PROHIBITION OF DEFECTION) ACT, 1987 - ENG.pdf","THE KARNATAKA LOCAL AUTHORITIES (PROHIBITION OF DEFECTION) ACT, 1987",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20LOCAL%20AUTHORITIES%20%28PROHIBITION%20OF%20DEFECTION%29%20ACT%2C%201987%20-%20ENG.pdf
THE KARNATAKA PROHIBITION OF VIOLENCE AGAINST....ETC 2009-ENG.pdf,"THE KARNATAKA PROHIBITION OF VIOLENCE AGAINST MEDICARE SERVICE PERSONNEL AND DAMAGE TO PROPERTY IN MEDICARE SERVICE INSTITUTIONS ACT, 2009",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PROHIBITION%20OF%20VIOLENCE%20AGAINST....ETC%202009-ENG.pdf
"THE SRINIVAS UNIVERSITY ACT, 2013-ENG.pdf","THE SRINIVAS UNIVERSITY ACT, 2013",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20SRINIVAS%20UNIVERSITY%20ACT%2C%202013-ENG.pdf
"THE KARNATAKA GOOD SAMARITAN AND MEDICAL PROFESSIONAL etc ACT, 2016-ENG.pdf","THE KARNATAKA GOOD SAMARITAN AND MEDICAL PROFESSIONAL (PROTECTION AND REGULATION DURING EMERGENCY SITUATIONS) ACT, 2016",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20GOOD%20SAMARITAN%20AND%20MEDICAL%20PROFESSIONAL%20etc%20ACT%2C%202016-ENG.pdf
23 of 2013 Rules (E).pdf,"Shri Devaraj University Rules, 2019",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/23%20of%202013%20Rules%20%28E%29.pdf
"THE KARNATAKA PREVENTION OF INCITEMENT TO REFUSE OR TO DEFER PAYMENT OF TAX ACT, 1981-ENG.pdf","THE KARNATAKA PREVENTION OF INCITEMENT TO REFUSE OR TO DEFER PAYMENT OF TAX ACT, 1981",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PREVENTION%20OF%20INCITEMENT%20TO%20REFUSE%20OR%20TO%20DEFER%20PAYMENT%20OF%20TAX%20ACT%2C%201981-ENG.pdf
"THE KARNATAKA SILKWORM SEED, COCOON AND SILK YARN (REGULATION OF...ETC 1959-ENG.pdf","THE KARNATAKA SILKWORM SEED, COCOON AND SILK YARN (REGULATION OF PRODUCTION, SUPPLY DISTRIBU TION AND SALE) ACT, 1959",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20SILKWORM%20SEED%2C%20COCOON%20AND%20SILK%20YARN%20%28REGULATION%20OF...ETC%201959-ENG.pdf
"THE KARNATAKA REPEALING AND AMENDING (REGIONAL LAWS) ACT, 2009-ENG.pdf","THE KARNATAKA REPEALING AND AMENDING (REGIONAL LAWS) ACT, 2009",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20REPEALING%20AND%20AMENDING%20%28REGIONAL%20LAWS%29%20ACT%2C%202009-ENG.pdf
10 of 2002 (E).pdf,"THE KARNATAKA DETERMINATION OF SENIORITY OF THE GOVERNMENT SERVANTS PROMOTED ON THE BASIS OF RESERVATION (TO THE POSTS IN THE CIVIL SERVICES OF THE STATE) ACT, 2002",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/10%20of%202002%20%28E%29.pdf
"THE KARNATAKA PROFESSIONAL EDUCATIONAL INSTITUTIONS (REGULATION OF ADMISSION AND FIXATION OF FEE) (SPECIAL PROVISIONS)  ACT, 2013-ENG.pdf","THE KARNATAKA PROFESSIONAL EDUCATIONAL INSTITUTIONS (REGULATION OF ADMISSION AND FIXATION OF FEE) (SPECIAL PROVISIONS) ACT, 2013",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20PROFESSIONAL%20EDUCATIONAL%20INSTITUTIONS%20%28REGULATION%20OF%20ADMISSION%20AND%20FIXATION%20OF%20FEE%29%20%28SPECIAL%20PROVISIONS%29%20%20ACT%2C%202013-ENG.pdf
1 of 1995 (E).pdf,"THE KARNATAKA EDUCATION ACT, 1983",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/1%20of%201995%20%28E%29.pdf
26 of 1989 (E).pdf,"THE KARNATAKA SUPPLY OF FOREST PRODUCE BY GOVERNMENT (REVISION OF AGREEMENTS) ACT, 1987",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/26%20of%201989%20%28E%29.pdf
"THE KARNATAKA STAMP ACT, 1957-ENG.pdf","THE KARNATAKA STAMP ACT, 1957",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STAMP%20ACT%2C%201957-ENG.pdf
2 of 2011 (E) emblem.pdf,"THE KARNATAKA STATE CIVIL SERVICES (REGULATION OF TRANSFER OF MEDICAL OFFICERS AND OTHER STAFF) ACT, 2011",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/2%20of%202011%20%28E%29%20emblem.pdf
"5 of 1957HE KARNATAKA MINISTERS SALARIES AND ALLOWANCES ACT, 1956 (E).pdf","THE KARNATAKA MINISTERS SALARIES AND ALLOWANCES ACT, 1956",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/5%20of%201957HE%20KARNATAKA%20MINISTERS%20SALARIES%20AND%20ALLOWANCES%20ACT%2C%201956%20%28E%29.pdf
17 of 2019 Rules (E).pdf,"Karnataka Debt Relief Rules, 2019",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/17%20of%202019%20Rules%20%28E%29.pdf
"THE KARNATAKA STATE OPEN UNIVERSITY ACT, 1992-ENG.pdf","THE KARNATAKA STATE OPEN UNIVERSITY ACT, 1992",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20STATE%20OPEN%20UNIVERSITY%20ACT%2C%201992-ENG.pdf
THE KARNATAKA REGULARISATION OF UNAUTHORISED...ETC 1991-ENG.pdf,"THE KARNATAKA REGULARISATION OF UNAUTHORISED CONSTRUCTION IN URBAN AREAS ACT, 1991",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20KARNATAKA%20REGULARISATION%20OF%20UNAUTHORISED...ETC%201991-ENG.pdf
16 of 2018 (E) emblem.pdf,"AMITY UNIVERSITY ACT, 2018",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/16%20of%202018%20%28E%29%20emblem.pdf
26 of 2015 (E).pdf,"THE KARNATAKA COMPULSORY SERVICE BY CANDIDATES COMPLETED MEDICAL COURSES ACT, 2012",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/26%20of%202015%20%28E%29.pdf
26 of 2005 (E).pdf,"THE KARNATAKA CONDUCT OF GOVERNMENT BUSINESS IN THE STATE LEGISLATURE ACT, 2005",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/26%20of%202005%20%28E%29.pdf
"THE UNIVERSITIES OF AGRICULTURAL SCIENCES ACT, 2009-ENG.pdf","THE UNIVERSITIES OF AGRICULTURAL SCIENCES ACT, 2009",https://storage.googleapis.com/jugalbandi/generic_qa/e62866ab-a459-498a-92f8-96efb754e9ad/THE%20UNIVERSITIES%20OF%20AGRICULTURAL%20SCIENCES%20ACT%2C%202009-ENG.pdf
